"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",0.00131742199889702
"8",0.00182889157810299
"9",0.00341081567279914
"10",0.00435527470587223
"11",0.00424546946403059
"12",0.0039001565620919
"13",0.00390257923532985
"14",0.00427308083864619
"15",0.00511956152133145
"16",0.00539762480633921
"17",0.00567535579792248
"18",0.00654297042951324
"19",0.00755307011297483
"20",0.00777610802897851
"21",0.00711980464917894
"22",0.00626626988736634
"23",0.0060914851476815
"24",0.00615467975162365
"25",0.00436261018974301
"26",0.00211885608425244
"27",0.000895827196898846
"28",0.0013246583314536
"29",0.00356594331053484
"30",0.00560088336657135
"31",0.00613576136640385
"32",0.00555928214577868
"33",0.00527918998116195
"34",0.00637148615951669
"35",0.00702777782243317
"36",0.00729838292626391
"37",0.00818415686808308
"38",0.0098905586726216
"39",0.0111147009504729
"40",0.0102227906877235
"41",0.00856347579919177
"42",0.00751752455635546
"43",0.00734725600566518
"44",0.007616273997839
"45",0.00690169543981267
"46",0.00320709195652628
"47",-0.00071840104497752
"48",-0.00224510107119539
"49",-0.00245092328619926
"50",-0.00296970012012069
"51",-0.00390999885973605
"52",-0.00482035505395214
"53",-0.00558756395006251
"54",-0.00577561661370411
"55",-0.0051987057629906
"56",-0.00495710330090911
"57",-0.00513705618434446
"58",-0.00239348301135056
"59",0.00147042657933053
"60",0.00346858612557662
"61",0.00486021716569485
"62",0.0057705242389959
"63",0.00679082198004248
"64",0.00902620896686527
"65",0.0102882871498913
"66",0.010908209934809
"67",0.0113466678601438
"68",0.0114913081402669
"69",0.0119579069045567
"70",0.0118649250916176
"71",0.0119973088389854
"72",0.0124840222566704
"73",0.0127881354805555
"74",0.0132023517825441
"75",0.0128203980292069
"76",0.0115221291901862
"77",0.0112598626361362
"78",0.0112476048202789
"79",0.0108686363222388
"80",0.0106311201343703
"81",0.0106827935782843
"82",0.0108021587900955
"83",0.0100007370547694
"84",0.00887267195045231
"85",0.0082739766072936
"86",0.0077349303338489
"87",0.00744089410137535
"88",0.00720003810080091
"89",0.00668315177097956
"90",0.00626985302914133
"91",0.00554428709515372
"92",0.00479164144233598
"93",0.00406553737338777
"94",0.00301271872085995
"95",0.00209344035938982
"96",0.00108684950660468
"97",3.41568517137069e-05
"98",-0.000911060949331244
"99",-0.00202195521265414
"100",-0.00329107498829336
"101",-0.00513885866653352
"102",-0.00710877699454489
"103",-0.0081643572376288
"104",-0.00888091664819794
"105",-0.00972051564718054
"106",-0.0101374506383032
"107",-0.0104353594901733
"108",-0.0103056297185958
"109",-0.00983186923789277
"110",-0.00932981465316884
"111",-0.00853884927533451
"112",-0.0076251352811787
"113",-0.00661818110732715
"114",-0.00526488700850207
"115",-0.00475099246628282
"116",-0.0045274659659537
"117",-0.0028366867164024
"118",-0.000677772921113891
"119",0.0014254657881058
"120",0.00293399311906869
"121",0.00356370499056887
"122",0.00429776073531452
"123",0.00501190400670293
"124",0.00567007828951997
"125",0.00685191615983616
"126",0.0077122043231815
"127",0.00838909244194844
"128",0.00930887951887301
"129",0.0096029388307967
"130",0.00926889417811561
"131",0.00872461199104461
"132",0.00842573472917733
"133",0.00826891597080922
"134",0.00802893919297361
"135",0.00808294502142185
"136",0.00832921439198072
"137",0.00817670406387339
"138",0.00792422563492797
"139",0.00803351563374662
"140",0.00815574163977987
"141",0.00782716997229812
"142",0.00736090186122625
"143",0.00709363425911458
"144",0.00689034886686664
"145",0.00694852020802572
"146",0.00695615328670322
"147",0.00674354314207267
"148",0.00653286518462481
"149",0.00680467500880451
"150",0.00726364927393308
"151",0.00731327387614914
"152",0.00694983009209479
"153",0.0069324806040616
"154",0.0071346683931867
"155",0.00728294327453494
"156",0.00750841029418588
"157",0.00779971560410453
"158",0.00844669354824405
"159",0.0091664353934849
"160",0.00982323365404573
"161",0.0103282159301425
"162",0.0105860149775733
"163",0.0109930993943555
"164",0.0117269278335383
"165",0.0125981490148979
"166",0.0136049257835504
"167",0.0141265222270604
"168",0.0144986117208582
"169",0.0147436242958389
"170",0.0145547044718826
"171",0.0144258915923808
"172",0.0145688077133401
"173",0.0144965819392944
"174",0.0141943653527568
"175",0.0139406340726254
"176",0.013579009661367
"177",0.0130371015978562
"178",0.0123028015617124
"179",0.0118534449377203
"180",0.0114480432225565
"181",0.010983186186314
"182",0.0106408497491285
"183",0.0100607597314943
"184",0.00902646728628054
"185",0.0080406823118319
"186",0.00744900667697523
"187",0.00682459383120511
"188",0.00620811137348746
"189",0.00560428529149814
"190",0.00496780231026461
"191",0.00459035579051566
"192",0.00428643267402225
"193",0.00403748571916244
"194",0.00418149432722685
"195",0.0042262292346907
"196",0.00346249687747517
"197",0.00234700792112763
"198",0.00126043271543589
"199",0.000263438780821061
"200",-0.000301027537146521
"201",-0.000603280075769596
"202",-0.000947564594135475
"203",-0.00138373511799565
"204",-0.00208021579447674
"205",-0.00291652770032069
"206",-0.00393808907171393
"207",-0.00364257735590923
"208",-0.00197140917675479
"209",-0.000723897108109754
"210",0.000383877007720912
"211",0.00150627858166922
"212",0.00229946917370194
"213",0.00258507055867467
"214",0.00283363801598531
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",NA
